Name,Date,Lat,Lng,Speed(mph),Speed(km/h),Altitude(ft),Altitude(m),Accuracy,Type,Date2
Ruksana’s iPhone,2019-12-03 5:54:13 PM,,,2,3,16,5,6,GPS,2019-12-03 17:54:13+00:00
Ruksana’s iPhone,2019-12-03 5:56:24 PM,,,1,2,19,6,6,GPS,2019-12-03 17:56:24+00:00
Ruksana’s iPhone,2019-12-03 5:58:35 PM,,,,,19,6,32,GPS,2019-12-03 17:58:35+00:00
Ruksana’s iPhone,2019-12-03 6:00:21 PM,,,1,2,19,6,32,GPS,2019-12-03 18:00:21+00:00
Ruksana’s iPhone,2019-12-03 6:02:31 PM,,,,,13,4,65,GPS,2019-12-03 18:02:31+00:00
Ruksana’s iPhone,2019-12-03 6:08:44 PM,,,,,16,5,65,GPS,2019-12-03 18:08:44+00:00
Ruksana’s iPhone,2019-12-03 6:10:00 PM,,,,,177,54,32,GPS,2019-12-03 18:10:00+00:00
Ruksana’s iPhone,2019-12-03 6:12:13 PM,,,,,-495,-151,48,GPS,2019-12-03 18:12:13+00:00
Ruksana’s iPhone,2019-12-03 6:14:25 PM,,,0,0,-521,-159,32,GPS,2019-12-03 18:14:25+00:00
Name,Date,Lat,Lng,Speed(mph),Speed(km/h),Altitude(ft),Altitude(m),Accuracy,Type,Date2
Ruksana’s iPhone,2019-12-04 9:24:21 AM,,,2,3,-22,-7,48,GPS,2019-12-04 09:24:21+00:00
Ruksana’s iPhone,2019-12-04 9:26:30 AM,,,2,3,16,5,6,GPS,2019-12-04 09:26:30+00:00
Ruksana’s iPhone,2019-12-04 9:29:21 AM,,,12,19,16,5,8,GPS,2019-12-04 09:29:21+00:00
Ruksana’s iPhone,2019-12-04 9:30:09 AM,,,1,2,16,5,8,GPS,2019-12-04 09:30:09+00:00
Ruksana’s iPhone,2019-12-04 9:31:32 AM,,,13,21,16,5,8,GPS,2019-12-04 09:31:32+00:00
Ruksana’s iPhone,2019-12-04 9:32:50 AM,,,24,39,13,4,8,GPS,2019-12-04 09:32:50+00:00
Ruksana’s iPhone,2019-12-04 9:34:11 AM,,,6,10,13,4,12,GPS,2019-12-04 09:34:11+00:00
Ruksana’s iPhone,2019-12-04 9:35:47 AM,,,4,6,13,4,12,GPS,2019-12-04 09:35:47+00:00
Ruksana’s iPhone,2019-12-04 9:37:06 AM,,,9,14,32,10,6,GPS,2019-12-04 09:37:06+00:00
